# N,  R,  delss, N,  R,  delss, N,  R,  delss, e, LL
4.040091608844302407e+00,5.212145549886933793e+00,1.002374424191622992e+01,5.509723367132077776e+00,6.020097893345814910e+00,8.043416973219372323e+00,1.035441904492016540e+01,3.607454421387251031e+00,1.001635429533607535e+01,-1.000000000000000000e+01,5.118864333858596183e+02
6.880384092904982651e+00,6.362088691265302742e+00,1.143905371731836951e+01,5.846952542904656269e+00,7.153840909810572413e+00,1.060710852950871796e+01,5.441650655819696425e+00,7.923736223142094914e+00,9.514612987417734757e+00,-1.000000000000000000e+01,5.118864333858596183e+02
8.565940542949713077e+00,7.812901493472399927e+00,7.493335801187911649e+00,1.035103247041255869e+01,3.239191824353957472e-01,8.796910473781530015e+00,3.724647835563595244e+00,5.668214252149369692e+00,2.555647341180788512e+00,-1.000000000000000000e+01,5.118864333858596183e+02
9.185950422170940044e+00,2.316683622913358498e+00,6.228854203193240124e+00,6.635767692944729568e+00,4.626752472692547968e+00,2.232103209497690699e+00,2.062352805626936458e+00,1.975027446324303604e+00,6.017819782880017954e+00,-1.000000000000000000e+01,5.118864333858596183e+02
7.569979219369274759e+00,8.326481652561934510e+00,6.855323780994872607e+00,1.934826476297943021e+00,1.966451723001826579e+00,2.068754600637446109e-02,1.083769923491718856e+01,3.962828156398886748e+00,9.277794491066604365e+00,-1.000000000000000000e+01,5.063539937310447385e+02
6.631157991593763512e+00,8.126333294926343598e+00,3.038058348627681315e+00,5.045197911793778189e+00,9.071891028291512171e+00,1.005568453114741878e+01,3.948469238848979934e+00,3.267562522361611155e+00,2.359389989002667498e+00,-1.000000000000000000e+01,5.118864333858596183e+02
8.125861352800129112e+00,1.179627393543559499e+01,6.449119452033514222e+00,3.470110141244653335e-01,4.173097593658464888e+00,1.027468897758360811e+00,5.314363889334822844e+00,3.393246830167423234e+00,6.869754010809606903e+00,-1.000000000000000000e+01,5.118864333831038493e+02
1.084069221637406777e+01,5.727736658766222178e+00,8.694310708074819871e+00,2.020882267434693791e+00,7.966877130899584714e+00,3.259785347512431208e+00,8.919010444789648773e+00,3.524697230244386859e-01,3.907353725072871153e+00,-1.000000000000000000e+01,5.118864333858596183e+02
7.170335508409939607e+00,2.448552212014631912e+00,1.714643194446985319e-02,3.783724907065006082e+00,1.159923952151943816e+01,2.612593094694440676e+00,7.445367897593456519e+00,6.386913311565706408e+00,5.502858770148835177e-01,1.692160411201632186e+00,5.082918825506031340e+02
9.481792562704917771e+00,7.140737098721349874e+00,5.392246153641253592e+00,4.720515082646581817e+00,9.568791077961753544e+00,3.466858359435939896e+00,8.703734375162891723e+00,1.029427435540487679e+01,7.457765875115752507e+00,-1.000000000000000000e+01,5.118864333858596183e+02
